year,site_id,habitat,variable,value
1998,wat,high,burrow_density,3
1998,fog,high,burrow_density,0
1998,bis,high,burrow_density,20
1998,fox,high,burrow_density,0
1998,bru,high,burrow_density,0
1998,app,high,burrow_density,0
1998,pas,high,burrow_density,0
1998,jen,high,burrow_density,0
1998,don,high,burrow_density,28
1998,old,high,burrow_density,0
1998,wat,high,burrow_density,0
1998,fog,high,burrow_density,0
2016,bis,low,burrow_density,8
2016,fox,low,burrow_density,16
2016,bru,low,burrow_density,20
2016,app,low,burrow_density,80
2016,pas,low,burrow_density,8
2016,jen,low,burrow_density,196
2016,don,low,burrow_density,36
2016,old,low,burrow_density,56
2016,wat,low,burrow_density,16
2016,fog,low,burrow_density,28
2016,bis,low,burrow_density,4
2016,fox,low,burrow_density,8
2016,bru,low,burrow_density,36
2016,app,low,burrow_density,40
2016,pas,low,burrow_density,20
2016,jen,low,burrow_density,112
2016,don,low,burrow_density,68
2016,old,low,burrow_density,16
2016,wat,low,burrow_density,0
2016,fog,low,burrow_density,16
2016,bis,low,burrow_density,0
2016,fox,low,burrow_density,8
2016,bru,low,burrow_density,76
2016,app,low,burrow_density,4
2016,pas,low,burrow_density,48
2016,jen,low,burrow_density,144
2016,don,low,burrow_density,48
2016,old,low,burrow_density,124
2016,wat,low,burrow_density,4
2016,fog,low,burrow_density,0
2016,bis,high,burrow_density,48
2016,fox,high,burrow_density,0
2016,bru,high,burrow_density,0
2016,app,high,burrow_density,4
2016,pas,high,burrow_density,0
2016,jen,high,burrow_density,24
2016,don,high,burrow_density,0
2016,old,high,burrow_density,20
2016,wat,high,burrow_density,0
2016,fog,high,burrow_density,60
2016,bis,high,burrow_density,60
2016,fox,high,burrow_density,0
2016,bru,high,burrow_density,4
2016,app,high,burrow_density,8
2016,pas,high,burrow_density,0
2016,jen,high,burrow_density,40
2016,don,high,burrow_density,0
2016,old,high,burrow_density,8
2016,wat,high,burrow_density,0
2016,fog,high,burrow_density,0
2016,bis,high,burrow_density,12
2016,fox,high,burrow_density,0
2016,bru,high,burrow_density,0
2016,app,high,burrow_density,0
2016,pas,high,burrow_density,0
2016,jen,high,burrow_density,12
2016,don,high,burrow_density,0
2016,old,high,burrow_density,0
2016,wat,high,burrow_density,0
2016,fog,high,burrow_density,0
